Name,Rating,Reviews,Price,Location,ReviewsData
Nishi Poke & Sushi Roll,4.5,250,$$,"{'address1': '3338 S La Cienaga Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90016', 'country': 'US', 'state': 'CA', 'display_address': ['3338 S La Cienaga Blvd', 'Los Angeles, CA 90016']}","[""The good reviews didn't steer me wrong. However,  keep in mind that this is a tiny hole-in-the-wall kind of place with a counter with maybe 5-6 chairs...."", 'I recently had to cancel a trip planned for Hawaii, so I ordered from Nishi to make up for it. I got a build your own poke bowl and some spam musubi, and it...', ""I've had Nishi's poke bowls 2 times now and have had great experiences! It really is what you'd expect from a yummy poke bowl. They have lots of options for...""]"
Ugly Roll Sushi,4.0,715,$,"{'address1': '11128 Palms Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['11128 Palms Blvd', 'Los Angeles, CA 90034']}","['Ambiance: small establishment, only three tables are inside, good for takeout orders, plenty parking spots in the lot shared with other merchants \n\nService:...', 'Sizable pieces and seemingly fresh but the sushi rice is off. There seems to be an Asian chef there, maybe Japanese, who might be making the rice which...', 'For the price, the food is actually 5 stars, the only reason I gave 4 stars is because they kind of fumbled an order once and the first time I went I...']"
Kusaki,4.5,70,N/A,"{'address1': '2535 S Barrington Ave', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90064', 'country': 'US', 'state': 'CA', 'display_address': ['2535 S Barrington Ave', 'Los Angeles, CA 90064']}","['Delicious food\nGreat customer service\nJust love the atmosphere \nCame for my little brothers birthday party was amazing definitely coming back. All in all...', ""Very fun date night / family dinner restaurant. I'm writing this review while I'm waiting for the next of the items. Great service, cute ambience and..."", ""This restaurant is insane! A couple of friends and I came in January so this is a long overdue review but I've been thinking about it since.\n\nWe did the...""]"
The Backhouse,4.0,993,$$,"{'address1': '10915 W Pico Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90064', 'country': 'US', 'state': 'CA', 'display_address': ['10915 W Pico Blvd', 'Los Angeles, CA 90064']}","[""I love this spot. Great HH which is 20 percent off everything until 630 pm during the week. Staff is always super nice. It's also amazing that they have a..."", ""Good things\n1) service \n2) Ambience \n3) good place to take date.\n\nBad things\n1) food wasn't as good as before, they mist have changed ownership?\n2) They..."", 'I wonder if I ate at the same place as some of these 4-5 star reviews?! \n- The wasabi was chemical bright green\n- Chicken karaage was over-breaded, nice...']"
Seabutter - Beverly Hills,4.5,560,$$$,"{'address1': '9105 W Olympic Blvd', 'address2': None, 'address3': '', 'city': 'Beverly Hills', 'zip_code': '90212', 'country': 'US', 'state': 'CA', 'display_address': ['9105 W Olympic Blvd', 'Beverly Hills, CA 90212']}","['Somehow there does not seem to be many sushi places open for lunch so my business partner recommended this place. Wow wa it good.\n\nHuge menu, tons of...', ""Here's the run down--\n\nThis is definitely a neighborhood sushi spot. My boyfriend and I made last minute dinner plans and decided on this spot. We didn't..."", 'This is sushi art on a plate. 15 out of 10 stars, hands down. \n\nIt is oh so hard to find legit pressed sushi in Los Angeles, and Seabutter offers a variety....']"
Sushi Beluga,4.5,314,$$,"{'address1': '207 Culver Blvd', 'address2': None, 'address3': '', 'city': 'Playa del Rey', 'zip_code': '90293', 'country': 'US', 'state': 'CA', 'display_address': ['207 Culver Blvd', 'Playa del Rey, CA 90293']}","['They made special  for my needs ( no sugar / no vinegar) quality fish \nThank you !!\nWill go back', ""The sashimi and sushi combination has to be the best I've had in a really long. Quality 5 stars on its own \n\nService is friendly and tells you the different..."", 'Ok so the 4 star is for the overall experience for the price you pay. \n\nFood quality and taste probably the best in the south bay area and top ten in LA and...']"
Tokyo Cube,4.5,615,$$,"{'address1': '3175 Cahuenga Blvd W', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90068', 'country': 'US', 'state': 'CA', 'display_address': ['3175 Cahuenga Blvd W', 'Los Angeles, CA 90068']}","[""Rolls were very tasty and presented so beautifully with flowers too! Went on a Tuesday night and it wasn't busy, they have a free parking lot but street..."", 'Nice little hole in the while. Food is great and service is great.  PARKING IS THE DOWNSIDE. Definitely  worth a try. We come here after a day at Universal...', 'Prices are a bit high for the portion size but food is very good.\nWe try to take advantage of the happy hour menu. Service is great . Lovely patio but noisy...']"
KazuNori Marina Del Rey,4.5,260,$$,"{'address1': '4635 Admiralty Way', 'address2': 'Ste 107', 'address3': None, 'city': 'Marina Del Rey', 'zip_code': '90292', 'country': 'US', 'state': 'CA', 'display_address': ['4635 Admiralty Way', 'Ste 107', 'Marina Del Rey, CA 90292']}","['Hands down one of me favorite hand roll sushi spots! This place is a sister restaurant to sugar fish! \n\n Ingredients are super fresh and have really good...', ""I ordered to go on a Wednesday evening and the line was out the door. I can see why it's so popular! \n\nEvery bite was tasty and fresh! I loved the box set..."", '4.5 stars. LOL I forgot to take pictures of all my handrolls, but that wouldn\'t have done this place justice. Came here with my partner for a ""snack"" before...']"
Japonica - El Segundo,4.5,245,$$,"{'address1': '229 N Main St', 'address2': None, 'address3': '', 'city': 'El Segundo', 'zip_code': '90245', 'country': 'US', 'state': 'CA', 'display_address': ['229 N Main St', 'El Segundo, CA 90245']}","['Great service and excellent food, very authentic Japanese soy sauce and sushi. I appreciated the attention to detail from the staff as well as knowledge of...', 'Japonica is a great spot to come to for dinner during happy hour (3-6pm). The happy hour menu has 4 rolls to choose from: spicy tuna, salmon skin, bumblebee...', ""We went for happy hour and sat outside. It was cold and they have heaters, but keep in mind they're the heaters that are more pretty and less warm. \n\nThe...""]"
SHU Sushi House Unico,4.5,295,$$$$,"{'address1': '2932 1/2 Beverly Glen Cir', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90077', 'country': 'US', 'state': 'CA', 'display_address': ['2932 1/2 Beverly Glen Cir', 'Los Angeles, CA 90077']}","['Hidden in the corner of a small shopping center is this even smaller gem! \n\nCame for dinner on a Saturday night with reservations (highly recommended) and...', ""My friend invited me here for my birthday. It's located in a cute shopping center that's the only special thing about. There is nothing special about the..."", 'Shu was jam packed when I got there on a Monday night around 7:30 pm. Our reservation was at 8 and we got seated around 8:10ish. The restaurant has dim...']"
Sake House By Hikari,3.5,520,$$,"{'address1': '9729 Culver Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['9729 Culver Blvd', 'Culver City, CA 90232']}","['We loved this place! \nSushi was great, service was awesome and prices are reasonable. \nWe will go back again!', ""i'm always really hesitant to write poor reviews of restaurants, especially ones where the service isn't necessarily bad, but i ordered pickup sushi here a..."", 'Ok, lovelies! I did it right this time! I took out the notes for me from the first time I visited, shared my thoughts with my friends and we ordered simple...']"
Bui Sushi,4.0,337,$$,"{'address1': '23733 Malibu Rd', 'address2': '', 'address3': '', 'city': 'Malibu', 'zip_code': '90265', 'country': 'US', 'state': 'CA', 'display_address': ['23733 Malibu Rd', 'Malibu, CA 90265']}","['Such an underrated hidden sushi spot in Malibu! Everything is so fresh and delicious  the service was amazing! Thank you to Melissa for serving us', 'This is a cute place and has pretty good food! We ordered the miso soup - delicious. Gyoza - yum. Paradise roll - quite good. Peppered tuna roll - would get...', 'Excellent location and they have great quality of sushi. The sushi was so good and beautifully presented. So many fresh options. The flavors and textures...']"
Moto Ramen,4.5,396,$$,"{'address1': '11172 Washington Blvd', 'address2': None, 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['11172 Washington Blvd', 'Culver City, CA 90232']}","['YUM! Definitely recommend. I got the vegan ramen and my friend got the Tonkosto ramen and they were delicious. \n\nIf they add gluten-free ramen to the menu I...', 'Service was awesome!!!\nFood was fine. Not sure I would race back here especially since I live in OC. \nLots of flavor in the spicy ramen. Portion is huge! So...', 'Absolutely recommend this joint. Service was excellent. The food was great (Tonkotsu)! This restaurant  definitely has a good vibe. \nMy wife and I both...']"
Hama Sushi,4.0,1705,$$$,"{'address1': '347 E 2nd St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['347 E 2nd St', 'Los Angeles, CA 90012']}","['We had the joy of eating exquisite sushi in Tokyo, and since then, we have been those people who complain that nothing compares to that experience. Until...', ""With over 1,700 reviews, this sushi spot may not need another 5 star review. I couldn't help but rave about this place nonetheless! \n\nHama Sushi is such a..."", 'second time coming..but this time it was for dinner\ncame around 530..2 hour wait....fnally got to seat down and now the sushi is coming out out peice at a...']"
The Room Sushi Bar,4.0,755,$$,"{'address1': '1884 Westwood Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['1884 Westwood Blvd', 'Los Angeles, CA 90025']}","['Ordered a rather large order from GrubHub and the restaurant processed and made it very quickly! Everything was amazing, and crowd favorites were the Spicy...', 'Cozy restaurant!\nGreat service!\nTasty food!\nLoved the music!!\nParking in the rear!\nShort ride from the Santa Monica Pier!', 'Enjoyed eating the sushi here, along with the soft shell crab, grilled salmon collar and Agedashi tofu appetizers.  The yellowtail carpaccio was amazing!']"
SUGARFISH by sushi nozawa,4.0,1727,$$$,"{'address1': '4720 Admiralty Way', 'address2': '', 'address3': '', 'city': 'Marina Del Rey', 'zip_code': '90292', 'country': 'US', 'state': 'CA', 'display_address': ['4720 Admiralty Way', 'Marina Del Rey, CA 90292']}","['Lots of mixed reviews on sugar fish but I personally enjoyed it. The rice was perfect, fish was fresh, and sauces on the side were a great complimentary...', 'I was disappointed in the service at this Sugarfish. I took my relatives from out of town, who had never been to a Sugarfish before, and their questions...', 'First time trying Sugarfish, and it was AMAZING. I love the concept of course meals - the server brought out one plate at a time, and replaced it with the...']"
Irori Sushi,4.0,2036,$$$,"{'address1': '4371 Glencoe Ave', 'address2': 'Ste B4', 'address3': '', 'city': 'Marina Del Rey', 'zip_code': '90292', 'country': 'US', 'state': 'CA', 'display_address': ['4371 Glencoe Ave', 'Ste B4', 'Marina Del Rey, CA 90292']}","[""It's really delicious \nI like the lunch set \nSushi is special fresh\nI have eaten many times"", '100% hidden gem tucked away in a shopping center.\n\nThis place was excellent and we wished we had found it sooner in our day.\n\nUpon entering the space you...', 'Cool restaurant concept. You take off your shoes before dining. The floors are very clean and sanitary! I suggest you wear socks if coming, but if you are...']"
Oomasa Restaurant,4.0,1417,$$,"{'address1': '100 Japanese Village Plaza Mall', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['100 Japanese Village Plaza Mall', 'Los Angeles, CA 90012']}","['This was my first time in Little Tokyo. There are a lot of cool shops around and authentic Japanese food. Definitely a lively environment. \n\nWe came here on...', ""I would have given  0 stars if I could\nLet's start with the service my friend got his meal ate the whole thing I still didn't get my food mind you both..."", ""If you're looking for a quick lunch or meal to fill you up, this is your place. Trying to be seated can be a bit tricky since you have to sign in via a...""]"
Nonstop Sushi & Sake Bar,4.0,598,$$,"{'address1': '2645 Lincoln Blvd', 'address2': '', 'address3': '', 'city': 'Santa Monica', 'zip_code': '90405', 'country': 'US', 'state': 'CA', 'display_address': ['2645 Lincoln Blvd', 'Santa Monica, CA 90405']}","['Some of the best sushi in Santa Monica. Excellent service and the freshest sushi in town! Highly recommend.', 'I heard they brought AYCE back so I decided to give this spot another try and was glad I did!\n\n$52 for all you can eat here and I made sure I got my moneys...', 'They have the fastest take out and the food smells amazing! The meal was delicious and I will definitely come back. The staff was so nice and welcoming....']"
Oyabun,4.0,378,N/A,"{'address1': '3060 W Olympic Blvd', 'address2': 'Ste 150', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90006', 'country': 'US', 'state': 'CA', 'display_address': ['3060 W Olympic Blvd', 'Ste 150', 'Los Angeles, CA 90006']}","[""Amazing service, they set everything up nicely. \nWe did the 4 course meal, it was interesting. \n\nThe only dish I wasn't a fan of was the cold sashimi soup,..."", ""Worst Experience:\n\n1) service staff was terrible, didn't even get a menu for 15 minutes, and the restaurant was empty \n\n2) the food was not fresh.  I..."", ""Been craving marinated raw crabs, but my partner doesn't eat crabs (messy), so found this place on Yelp that offer more choices. Comments and photos look...""]"
Nonstop Sushi & Sake Bar Marina Del Rey,4.5,81,N/A,"{'address1': '4025 Del Rey Ave', 'address2': '', 'address3': None, 'city': 'Marina Del Rey', 'zip_code': '90292', 'country': 'US', 'state': 'CA', 'display_address': ['4025 Del Rey Ave', 'Marina Del Rey, CA 90292']}","['I love this place!!! The restaurant is beautiful and the food was delish. I called to make a reservation for our first time and it so paid off because the...', 'Great new sushi spot in town! \n\nFish was so fresh and the service was amazing! Friendly chef and staff made the experience 10/10. Ambiance is great...', 'May 8, 2023 Delicious & Full of Surprises: Nonstop Sushi brings the heat with presentation & mouthwatering flavors, as well as beautiful decor! They...']"
Kinari,4.5,173,$$,"{'address1': '801 N Fairfax Ave', 'address2': 'Ste 107', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90046', 'country': 'US', 'state': 'CA', 'display_address': ['801 N Fairfax Ave', 'Ste 107', 'Los Angeles, CA 90046']}","['I recently visited Kinari based on the glowing reviews I read online, and I have to say, I was not disappointed! As a huge fan of miso ramen, I had to try...', 'I came here with a friend for dinner on a Friday night. We decided to both get the aburi sushi combo special. \n\nFrom the time we sat down to the time the...', ""I can't say anything about the interior as I had mine delivered. \n\nMaybe it's because it's Mother's Day, or maybe not. I was not impressed with this place....""]"
Kanpai Japanese Sushi Bar & Grill,4.0,1609,$$$$,"{'address1': '8325 Lincoln Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90045', 'country': 'US', 'state': 'CA', 'display_address': ['8325 Lincoln Blvd', 'Los Angeles, CA 90045']}","['More of a 4.5 stars. We were lucky because my brother had a restaurant.com coupon to use. \n\nThe star of the show  was definitely the sushi. Most of the...', ""Went here on a date. The sushi was so fresh and delicious. The service was a bit slow, but that's to be expected since it was later in the evening. Also,..."", 'Such delicious sushi in an easy, casual spot right by the airport. We went twice in our three-day trip from NY. Would come here all the time if I lived...']"
KazuNori  | The Original Hand Roll Bar,4.5,3316,$$,"{'address1': '421 S Main St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90013', 'country': 'US', 'state': 'CA', 'display_address': ['421 S Main St', 'Los Angeles, CA 90013']}","[""Simple and Sweet\n\nThey are the sister restaurant to Sugarfish and imo it's far better than sugar fish. They specifically do handrolls but man are they good!..."", ""The lines are hit or miss, you just have to time it right. About 20 guests can sit on the counter comfortably. It's like a big family style eating..."", 'Happy Accident\n\nI was just passing through, looking for a quick seafood-oriented bite for a late lunch - so glad our paths crossed\n\nthis place serves solid...']"
Takuma,4.5,484,$$,"{'address1': '2627 Wilshire Blvd', 'address2': '', 'address3': '', 'city': 'Santa Monica', 'zip_code': '90403', 'country': 'US', 'state': 'CA', 'display_address': ['2627 Wilshire Blvd', 'Santa Monica, CA 90403']}","['Was not expecting this hole in the wall spot to be as good as it was! Great Santa Monica option for Asian food. \n\nWe got bento boxes to go and were all so...', 'Food was alright. Overpriced, and honestly tasted ok.\n\nOur friends are vegetarian and had to bring food to the restaurant to accommodate for their diet....', 'This is kind of a little hole in the wall place that we decided to try because we were in the area and felt like eating Japanese food. According to their...']"
